id,accepted
42661225,False
10353203,True
44504704,True
10291814,True
5823670,False
6918894,True
41596980,True
26166853,True
18339562,False
13637603,False
10476798,False
5447280,False
12731591,True
20553451,True
39587214,False
2003680,False
12330763,True
11746023,False
53583300,False
6808762,True
7972851,True
33621786,False
6669237,False
8206320,False
7334622,True
7154246,True
7448954,True
9730292,False
15278405,True
25198612,True
4761832,True
5143045,True
16133714,True
39138475,True
9296485,True
39849578,True
17130147,True
15347418,True
5332664,True
23451444,False
7242964,True
17096661,True
20791975,False
27677078,False
11300707,False
24561962,True
7351346,True
42294171,True
11427568,True
23197687,True
40059757,False
19065945,True
32978686,True
8681811,True
6698911,True
4863550,True
38649648,False
3835740,True
8301637,True
10917694,True
46661488,False
8100830,False
8423131,True
8449677,True
10276898,True
29362211,True
14614969,False
5234293,True
16759366,False
5764537,False
13693361,True
11495152,False
7541649,True
6819883,True
22104796,True
20105552,False
23938822,True
32120025,True
28268841,True
12075912,True
19141663,False
14660493,True
7536610,True
6750625,True
5770190,False
4787739,False
19126403,False
3813229,False
17030209,False
44083633,False
20428775,True
13420574,False
14187128,False
24480301,True
4504307,True
13290832,True
14255748,False
48433479,False
8361621,False
5788200,True
14141647,True
11811147,True
8113481,True
18747221,True
14336625,True
18964626,True
5804454,False
11270029,True
2436960,True
6496526,True
2485556,True
4684604,False
12792897,True
16386675,True
15794201,True
32031038,True
7322792,True
4125300,True
6955485,False
27906048,False
28291428,True
16301283,False
14242757,True
6179288,True
13598652,False
8732874,True
14799551,True
6957716,True
15114917,True
36221178,True
7864088,True
1517674,True
44406138,False
4775115,True
14843935,True
12646624,True
6720928,True
22076464,True
7024751,True
37656869,True
38977989,True
30544318,True
4126475,False
4785757,False
15559956,False
28296019,True
8094059,True
3480460,True
4385902,True
44405156,False
8082107,True
8372721,True
8233909,False
26828486,True
8028648,False
17517342,False
13346922,False
6254606,True
6262262,True
12325377,True
5522870,False
10555270,False
4047228,False
13056659,True
14221020,True
8422545,True
6551850,True
25294787,True
5785757,True
25026328,True
16368165,True
43640747,True
20404990,True
10719962,True
10820135,True
13888731,True
5754699,True
10347205,True
15580743,True
1296745,True
42105521,True
14164764,True
8030935,True
29988402,False
23065430,True
9624444,False
24529574,True
1235403,False
6916147,False
7327565,True
22746623,True
7215430,True
8221687,True
37175889,True
7504524,True
8944800,True
6455262,True
1497697,False
9252447,False
15764949,True
6429229,True
3088744,True
10391001,False
7996205,False
19449769,True
11797242,True
14784583,True
29041447,True
3916502,True
39286623,True
1995984,False
17453493,False
11693771,True
10444744,False
7144801,False
15673180,False
13390344,True
7057697,True
40936980,True
13701732,True
10033781,True
4758396,True
18994247,True
7502689,True
9946970,False
5172509,True
16384342,True
21027819,True
5382907,True
3053883,True
9789895,True
7189115,True
8617548,False
16503585,True
6289683,True
14526637,False
40064738,True
40847578,False
17559641,True
6973803,True
14615026,True
16363116,True
14641957,True
7457762,True
11653205,True
12611397,True
15789538,True
8299417,True
12639740,False
7919721,True
15468888,True
15962433,True
3149070,False
13384777,False
2935872,True
4034088,True
36572004,True
15012864,True
10449502,False
12077502,False
33981592,True
3764352,True
32564334,True
30335069,False
38971629,True
11561793,True
8525185,True
1233157,True
4868946,True
9236205,True
13241088,True
3766007,False
16042494,True
9646326,True
14357701,True
42734570,False
27748303,False
27445660,False
48433474,False
4419282,False
6281866,False
9570321,True
3559069,True
10565733,True
23832910,False
3881365,True
43419232,True
12978886,True
8581379,True
3277380,False
5689000,True
6614595,True
8390200,True
13383995,True
5226089,True
15332432,True
42061145,True
12291478,False
9266265,True
1296434,False
9514954,True
8176061,False
3485256,False
25812054,False
7121951,True
9611358,True
5564654,False
21125831,True
33129922,True
7195477,False
9416421,False
12486303,False
18237295,True
32762503,True
34352573,True
27599824,True
2989369,False
9604339,True
7195107,False
13986029,True
24357075,True
12164275,False
10421875,True
14694108,False
11990446,True
8197164,True
7576278,True
40856591,True
26117442,True
9789805,True
13961565,False
33463250,False
39645216,False
10960498,True
10657007,True
3559204,False
16850264,True
24569597,False
4919601,True
7356131,True
41844892,True
14146490,True
6444369,True
7303380,True
24741695,True
6149689,True
9315420,False
11308586,False
9127010,False
19749899,True
13074569,True
8317303,False
8267036,True
11149234,False
8334531,True
22286561,True
9521239,False
12328064,True
14080329,True
7476239,True
43931781,True
30180392,True
6306649,False
29822556,False
24536653,True
7532720,True
7368861,True
13734448,True
17476306,True
6864932,False
9269980,False
11966967,False
16271419,True
3852394,True
12980076,True
8343728,True
38712300,True
33673115,True
25142869,True
12466668,True
3869192,True
9741678,True
8732827,True
20767090,True
15226699,False
26077612,True
6917600,True
7552906,True
10365218,False
12503941,True
30017710,True
1268556,True
7810158,True
1842754,True
5222365,False
4798401,True
14872238,True
10738843,True
10322055,False
10455661,True
11403173,True
13012305,True
8065430,True
2170103,True
35329418,True
12483347,True
9368940,True
13036178,True
5187006,True
13092757,True
5366198,True
7006502,True
8509301,True
15736749,True
12682751,True
24192745,False
31573096,True
22256302,False
6471927,True
41952398,True
2953115,False
7905511,False
1329037,False
15255901,True
19081290,True
13498914,False
13268755,True
10264042,True
8515188,True
7027818,False
25923466,True
49772543,False
11871739,True
13938192,False
14848833,True
51087606,True
44473036,True
15215131,True
4669307,False
18364669,True
36092473,True
9188972,True
8184516,True
30580864,True
3367306,False
30964254,True
9982513,False
5535912,True
6596549,True
29141686,False
25775938,True
7309725,True
9839566,True
48053231,True
13016620,False
10270971,False
7735681,False
6451571,True
12626718,False
5021213,True
3039703,True
16157504,True
23847154,True
5758134,True
8733777,False
6918891,True
18802018,False
18093936,True
16130402,True
24754637,False
4054655,True
47481051,True
26363347,True
10301068,False
7049332,False
14363274,False
19460687,False
5745338,True
26540334,True
20321664,False
9424510,False
6297396,False
11767744,True
11787503,True
9449710,True
10706828,True
1172818,False
1551859,True
13541328,True
39453327,False
7112939,True
8184543,False
40456341,False
19226817,True
6553080,True
1427923,False
12468882,True
14162967,True
8382486,False
7146480,True
10521814,True
7535453,False
6315855,True
5759013,False
6773518,False
7137354,True
8437109,True
9181954,False
10560532,False
4442928,False
26308889,False
28160474,True
3076842,True
15932091,False
4755101,True
12162762,True
4992890,True
3838816,True
8545618,True
26809978,False
9839579,True
8846361,True
8197706,False
7526926,True
9613703,True
2192671,True
5492301,False
4410462,True
8693710,True
13195632,True
7883856,True
10111521,False
7263843,False
13811596,True
26469063,True
8209110,True
1173551,False
14822010,True
5159188,False
8538071,False
3788084,False
9856724,False
30542172,True
6649694,True
6783165,True
8066159,False
28378151,True
3064220,True
3513333,True
7681273,True
18139836,True
14218910,True
26986399,True
23414789,True
4355118,True
21660041,False
6010867,True
2328538,True
8887542,False
16347447,True
25463551,True
40984742,True
13650955,False
3879807,True
15245023,False
14471816,True
6545362,True
4844261,True
4297342,True
21209817,True
4055801,False
14403459,False
6282692,True
28545991,False
1452330,True
13286617,False
5961999,False
10835234,True
41195496,True
1386909,True
9333909,False
34096575,False
27989615,False
6895958,True
15595565,True
6988427,False
8596547,True
24194531,True
41739527,True
6066463,True
13957671,True
12907633,False
1395365,False
12904202,True
15393516,False
36672341,True
41789912,False
4394128,True
6471769,False
8045830,True
7239674,True
25140083,True
28703013,False
7034979,True
28654149,True
44796581,True
13613183,True
30260862,True
39035848,True
14131120,True
7599451,True
5629066,True
12849220,True
35321015,True
25293526,True
32184318,True
14105237,False
9548672,True
40429709,True
27482738,True
43935176,True
17023388,False
11878172,True
25966668,True
7769296,False
20597684,True
18324105,True
9624294,False
1429819,True
4209644,True
14395672,True
10679467,False
29325692,False
8145715,True
2615143,True
1423444,True
51426628,True
2626576,True
7706959,False
6933649,True
8652127,True
8854469,True
7681061,True
3761502,False
6632069,True
2609970,True
7578905,True
13783044,False
11363085,True
9755512,True
3969928,True
51529888,True
4335739,True
6299291,True
16289234,True
18748069,True
7344468,True
16543706,False
14244378,False
14614741,True
7327426,False
14205926,True
2619620,True
26413765,True
7455481,True
26289717,True
27528953,True
10085807,True
8186560,True
8918668,True
2078278,True
16824333,True
10017736,False
11063898,True
10911838,True
11911609,False
19664351,True
11066583,True
13119440,True
30520423,True
9749666,True
51054628,True
15944950,False
29202351,True
10787761,True
13909764,True
5664040,True
3602179,False
14424417,True
5745952,False
15074283,True
13609163,False
25081427,True
6256229,True
14860261,True
38094345,True
9521502,True
6835908,True
13274334,True
20635263,False
1311613,True
8689777,False
9282093,True
17824490,True
48577399,True
26581588,False
6808858,True
27121149,True
9897561,False
6807360,True
14755653,True
29201337,True
8751004,True
5790430,True
11950006,True
8939630,False
12064297,True
9705725,False
14812341,True
5560213,False
6876818,True
27902179,True
25691035,True
23341485,False
9863081,True
2858072,True
11965712,True
3753792,True
20689755,False
10151852,True
4350905,True
25976292,True
10451297,True
16110579,True
8433843,True
7885241,True
19172037,True
15890096,True
9862712,False
3325468,True
7106387,True
7440055,False
17433446,False
